level,code,label,parent_code,source,aliases
2,11,"Agriculture, Forestry, Fishing and Hunting",,census_2022,[]
2,21,"Mining, Quarrying, and Oil and Gas Extraction",,census_2022,[]
2,22,Utilities,,census_2022,[]
2,23,Construction,,census_2022,[]
2,31-33,Manufacturing,,census_2022,[]
2,42,Wholesale Trade,,census_2022,[]
2,44-45,Retail Trade,,census_2022,[]
2,48-49,Transportation and Warehousing,,census_2022,[]
2,51,Information,,census_2022,[]
2,52,Finance and Insurance,,census_2022,[]
2,53,Real Estate and Rental and Leasing,,census_2022,[]
2,54,"Professional, Scientific, and Technical Services",,census_2022,[]
2,55,Management of Companies and Enterprises,,census_2022,[]
2,56,Administrative and Support and Waste Management and Remediation Services,,census_2022,[]
2,61,Educational Services,,census_2022,[]
2,62,Health Care and Social Assistance,,census_2022,[]
2,71,"Arts, Entertainment, and Recreation",,census_2022,[]
2,72,Accommodation and Food Services,,census_2022,[]
2,81,Other Services (except Public Administration),,census_2022,[]
2,92,Public Administration,,census_2022,[]
2,99,Unclassified business activity,,irs_pba_2025,[]
3,111,Crop Production,11,census_2022,[]
3,112,Animal Production and Aquaculture,11,census_2022,[]
3,113,Forestry and Logging,11,census_2022,[]
3,114,"Fishing, Hunting and Trapping",11,census_2022,[]
3,115,Support Activities for Agriculture and Forestry,11,census_2022,[]
3,211,Oil and Gas Extraction,21,census_2022,[]
3,212,Mining (except Oil and Gas),21,census_2022,[]
3,213,Support Activities for Mining,21,census_2022,[]
3,221,Utilities,22,census_2022,[]
3,236,Construction of Buildings,23,census_2022,[]
3,237,Heavy and Civil Engineering Construction,23,census_2022,[]
3,238,Specialty Trade Contractors,23,census_2022,[]
3,311,Food Manufacturing,31-33,census_2022,[]
3,312,Beverage and Tobacco Product Manufacturing,31-33,census_2022,[]
3,313,Textile Mills,31-33,census_2022,[]
3,314,Textile Product Mills,31-33,census_2022,[]
3,315,Apparel Manufacturing,31-33,census_2022,[]
3,316,Leather and Allied Product Manufacturing,31-33,census_2022,[]
3,321,Wood Product Manufacturing,31-33,census_2022,[]
3,322,Paper Manufacturing,31-33,census_2022,[]
3,323,Printing and Related Support Activities,31-33,census_2022,[]
3,324,Petroleum and Coal Products Manufacturing,31-33,census_2022,[]
3,325,Chemical Manufacturing,31-33,census_2022,[]
3,326,Plastics and Rubber Products Manufacturing,31-33,census_2022,[]
3,327,Nonmetallic Mineral Product Manufacturing,31-33,census_2022,[]
3,331,Primary Metal Manufacturing,31-33,census_2022,[]
3,332,Fabricated Metal Product Manufacturing,31-33,census_2022,[]
3,333,Machinery Manufacturing,31-33,census_2022,[]
3,334,Computer and Electronic Product Manufacturing,31-33,census_2022,[]
3,335,"Electrical Equipment, Appliance, and Component Manufacturing",31-33,census_2022,[]
3,336,Transportation Equipment Manufacturing,31-33,census_2022,[]
3,337,Furniture and Related Product Manufacturing,31-33,census_2022,[]
3,339,Miscellaneous Manufacturing,31-33,census_2022,[]
3,423,"Merchant Wholesalers, Durable Goods",42,census_2022,[]
3,424,"Merchant Wholesalers, Nondurable Goods",42,census_2022,[]
3,425,Wholesale Trade Agents and Brokers,42,census_2022,[]
3,441,Motor Vehicle and Parts Dealers,44-45,census_2022,[]
3,444,Building Material and Garden Equipment and Supplies Dealers,44-45,census_2022,[]
3,445,Food and Beverage Retailers,44-45,census_2022,[]
3,449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",44-45,census_2022,[]
3,455,General Merchandise Retailers,44-45,census_2022,[]
3,456,Health and Personal Care Retailers,44-45,census_2022,[]
3,457,Gasoline Stations and Fuel Dealers,44-45,census_2022,[]
